stamp,Albania,Algeria,American Samoa,Andorra,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belgium,Bermuda,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Cabo Verde,Canada,Cayman Islands,Chile,"China, Hong Kong SAR","China, Macao SAR",Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Denmark,Egypt,El Salvador,Estonia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guernsey,Guyana,Hungary,Iceland,Iran (Islamic Republic of),Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Liechtenstein,Lithuania,Luxembourg,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritius,Mayotte,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Netherlands,New Caledonia,New Zealand,Niue,Norfolk Island,North Macedonia,Norway,Oman,Pakistan,Palau,Panama,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Reunion,Romania,Russian Federation,Saint Helena ex. dep.,Saint Helena: Ascension,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Saint-Martin (French part),Samoa,San Marino,Sao Tome and Principe,Serbia,Seychelles,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,State of Palestine,Suriname,Sweden,Switzerland,Tajikistan,Thailand,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United States Virgin Islands,United States of America,Uruguay,Uzbekistan,Venezuela (Bolivarian Republic of)
Nov-78,,54283,,,,,,,,17671,6763,,344,777,426,,9358,,,,,,,10231,,28808,,18283,,,,5480,,14232,,823,,4482,140500,15497,,,55,1183,4871,55942,126,,,,,35,11213,61,490,252,23828,44,,12009,332,,5404,57,7940,53451,5553,133077,76,6977,,4102,,,,10613,19,,296,,,476,,488,421,,,,,,,,13371,,3284,,3,,3745,,205529,,4525,,125023,50014,12907,6681,,63364,,938,,,,,,391,,,,263,10,249,,156,3678,,,,48907,34312,,,6724,5267,,88039,,2588,14417,,,,,,,274679,,,45747
Dec-78,,59895,,,,,,,,18067,6985,,345,339,427,,9768,,,,,,,10655,,29317,,17332,,,,4081,,13194,,909,,4408,157978,14123,,,73,1198,5053,59464,135,,,,,53,10900,74,450,245,25061,46,,12950,324,,5812,43,7901,53350,5344,141353,44,8251,,3325,,,,11075,19,,358,,,425,,495,459,,,,,,,,13701,,805,,,,3925,,233347,,4564,,128660,51653,13918,6468,,62587,,918,,,,,,364,,,,256,26,242,,135,3429,,,,46814,35213,,,6647,5500,,90564,,2603,15033,,,,,,,284939,,,33537
Jan-79,,83132,,,,118,,,,18470,7554,,426,835,,,9967,,,,,,,,,29199,,19536,6804,,,5814,,11628,,903,,4747,184977,17073,,3,57,1513,5078,59981,141,,,,,45,12379,69,471,219,27450,55,,13306,359,,5955,73,8096,56802,5352,140668,75,8691,,4167,,,,12988,35,,339,,,353,,494,493,,,,,,,,14293,,4196,,1,,4369,,215995,,4563,,124378,59002,13859,5991,,100334,,926,,,6,,,338,4,,,,,,,135,3163,,,,52839,35852,,,8037,6019,,97001,,2386,20984,,,,,,,284463,,,35047
Feb-79,,71911,,,,110,,,,17915,6842,,317,815,,,9242,,,,,,,,,27437,,16540,5949,,,4871,,10479,,835,,4643,123255,13570,,,63,1451,4898,55932,112,,,,,21,11444,69,387,230,23859,52,,12356,336,,5592,49,6935,50880,4500,125702,65,7600,,3649,,,,9681,21,,293,,,377,,428,382,,,,,,,,12978,,3868,,2,,4111,,170546,,3997,,104288,54422,12418,5272,,97816,,871,,,9,1,,256,7,,,,,,,146,2972,,,,45761,32628,,,7835,5654,,92879,,2107,17913,,,,,,,260981,,,33627
Mar-79,,79164,,,,109,,,,19947,7534,,390,766,,,10640,,,,,,,,,32001,,18685,6111,,,5614,,11197,,1024,,5550,120691,13500,,1,83,1625,6051,63479,139,,,,,41,12534,85,467,256,22853,68,,14011,432,,6570,63,7678,56650,4547,133386,78,8110,,3817,,,,10197,27,,336,,,563,,478,433,,,,,,,,15008,,4480,,3,,4740,,176163,,4553,,114669,62619,13942,5662,,76656,,1042,,,6,,,276,10,,,,,,,136,3311,,,,51588,38391,,,9257,6396,,92475,,2428,19771,,,,,,,288637,,,38653
Apr-79,,73832,,,,110,,,,18881,7443,,320,821,,,10704,,,,,,,,,31226,,17866,5743,,,5451,,10623,,1024,,5521,104904,13599,,,63,1697,5790,66351,113,,,,,33,12203,83,450,229,24109,61,,13598,383,,6128,62,6976,56613,4778,130279,54,7426,,3685,,,,10214,27,,326,,,531,,429,406,,,,,,,,15293,,4263,,2,,4902,,164179,,4422,,113587,60705,13671,5401,,66605,,1048,,,7,,,263,8,,,,,,,175,3101,,,,51294,34894,,,9272,6497,,89879,,2275,19235,,,,,,,271159,,,37548
May-79,,73264,,,,107,,,,19587,7686,,358,828,,,11286,,,,,,,,,32579,,18534,6300,,,5691,,11483,,1160,,5445,104741,15048,,2,67,1703,5822,70959,141,,,,,29,13742,68,457,266,24420,45,,14514,423,,6627,67,7408,61826,4893,139140,81,8174,,3808,,,,10004,36,,390,,,555,,470,450,,,,,,,,15550,,4407,,3,,4746,,149508,,4478,,118382,61217,14728,5848,,68056,,1084,,,9,1,,296,10,,,,,,,156,3194,,,,55171,33858,,,8970,6592,,91020,,2336,20560,,,,,,,287126,,,43842
Jun-79,,60346,,,,115,,,,18196,7091,,318,782,,,10389,,,,,,,,,30812,,18820,6388,,,5394,,10623,,1075,,5274,104696,13313,,2,67,1598,5382,65426,124,,,,,48,13005,67,443,220,23215,51,,13889,358,,5913,58,7931,58416,4597,135608,85,7180,,3979,,,,9161,26,,340,,,592,,473,407,,,,,,,,14660,,4193,,1,,4307,,180978,,4038,,111993,57726,13777,5735,,67111,,1079,,,9,,,258,7,,,,,,,159,3284,,,,51271,32888,,,8137,6195,,82675,,2297,17575,,,,,,,282277,,,39076
Jul-79,,57967,,,,103,,,,18953,7281,,385,739,,,10674,,,,,,,,,31750,,18921,7027,,,5748,,11484,,1199,,5032,120599,13685,,2,75,1612,5336,66988,142,,,,,52,13187,72,425,265,24754,58,,14018,388,,6083,76,8331,61614,5245,144092,75,7147,,3996,,,,9947,21,,402,,,529,,477,446,,,,,,,,15262,,4459,,3,,4411,,238350,,4209,,114642,59826,13844,6246,,60066,,1126,,,12,,,295,4,,,,,,,154,3294,,,,52651,33269,,,8172,6419,,84833,,2362,17281,,,,,,,311157,,,41986
Aug-79,,61740,,,,133,,,,18728,7200,,403,730,,,10539,,,,,,,,,31139,,18862,7687,,,5659,,13207,,1227,,5037,113956,14016,,1,71,1638,5262,62044,123,,,,,45,13160,99,481,243,25049,57,,13627,380,,5955,68,8558,58402,4934,145434,85,7158,,3846,,,,9922,42,,336,,,526,,525,434,,,,,,,,15029,,4405,,1,,4369,,242074,,4073,,118310,57024,13306,6394,,64804,,1112,,,10,1,,316,5,,,,,,,154,3677,,,,50267,33136,,,7664,5836,,91887,,2514,17748,,,,,,,318023,,,42792
Sep-79,,61137,,,,142,,,,18242,6946,,474,882,,,10215,,,,,,,,,30995,,19132,7433,,,5715,,13063,,1112,,4842,160672,15253,,1,84,1504,5128,60918,151,,,,,41,12147,71,543,245,24917,50,,13101,331,,5866,49,8311,56404,4854,139959,76,7152,,4176,,,,9670,30,,313,,,439,,526,478,,,,,,,,14429,,4496,,1,,4154,,209542,,4415,,124457,55386,12938,6807,,62138,,1086,,,5,,,354,7,,,,,,,100,3706,,,,49635,34817,,,7611,5898,,86284,,2787,17595,,,,,,,306666,,,40839
Oct-79,,58145,,,,120,,,,18542,7075,,455,857,,,10559,,,,,,,,,30463,,19702,7980,,,6061,,13637,,1120,,4796,147783,15415,,,63,1342,5092,63552,180,,,,,44,12073,80,570,259,24717,61,,12828,365,,6163,71,8115,54591,5002,141386,74,7484,,4364,,,,9517,30,,353,,,603,,528,538,,,,,,,,14865,,4516,,2,,4122,,219536,,4934,,131042,53706,12743,6956,,68741,,1048,,,5,,,386,7,,,,,,,145,3982,,,,48948,37817,,,7608,5640,,88477,,2988,16745,,,,,,,304119,,,45563
Nov-79,,56459,,,,118,,,,17534,6758,,465,774,,,9821,,,,,,,,,28857,,18637,7320,,,5443,,13207,,1019,,4359,164725,15692,,2,45,1223,4802,59927,173,,,,,31,11246,60,554,239,24401,40,,12522,357,,5752,57,7511,48678,4871,129744,66,7710,,4266,,,,9188,41,,297,,,649,,486,483,,,,,,,,13864,,3336,,3,,3753,,228090,,4827,,125666,51997,12777,6687,,70028,,962,,,10,,,344,5,,,,,,,149,3514,,,,46229,35544,,,6831,5285,,88276,,2659,16175,,,,,,,288271,,,45596
Dec-79,,59798,,,,112,,,,17514,6978,,498,835,,,9788,,,,,,,,,29017,,17863,7233,,,4052,,12920,,1069,,4218,182675,14019,,,52,1636,4787,61797,165,,,,,42,10845,77,571,279,25481,48,,12594,363,,5935,65,7860,49345,4979,137182,70,7790,,4520,,,,10141,34,,353,,,591,,509,488,,,,,,,,13748,,836,,2,,3596,,240210,,4410,,128400,54663,12308,6782,,71458,,1029,,,7,2,,350,11,,,,,,,121,3581,,,,46338,34892,,,6861,5555,,89597,,2559,15757,,,,,,,291519,,,36780
Jan-80,,83368,,,,112,62263,,,18917,7481,,,1044,,12536,10282,,,,,25,,11090,845,29520,,20527,6877,,,5460,,12047,,1097,,4738,177868,16887,,5,72,,5113,63538,148,,,,,48,12555,91,534,250,,,,12948,400,,6233,48,7532,52886,,135848,62,,,4470,9790,,,10260,28,,338,,,523,,470,509,,,,,,,,14585,260,4164,,1,,4094,,,,4440,39074,,59390,13562,6261,557,78506,,1022,,,,0,,204,7,271,,,19,,,163,3137,,,,48642,35292,,,8293,6241,,,,2236,22097,,,61261,,,223,292009,4762,,40799
Feb-80,,79826,,,,89,58138,,,18205,7094,,,819,,11788,9780,,,,,20,,10239,878,28888,,18200,6536,,,5004,,10541,,1066,,4590,128197,13996,,1,47,,5062,60354,138,,,,,54,11966,71,423,248,,,,11910,364,,5880,58,6945,48441,,125070,68,,,3835,8386,,,9180,39,,304,,,474,,436,355,,,,,,,,13544,281,3925,,1,,4172,,,,4059,37102,,55841,12048,5594,500,79398,,1002,,,,0,,171,3,251,,,26,,,130,3026,,,,44822,32458,,,8260,5999,,,,2126,19001,,,56037,,,181,279961,4266,,36785
Mar-80,,79226,,,,88,59903,,,19557,7628,,,873,,12760,10484,,,,,15,,10662,854,31792,,19498,6345,,,5732,,10815,,1072,,5233,136924,12937,,3,54,,5931,67017,161,,,,,37,12311,96,489,262,,,,12675,402,,6531,77,7374,54757,,129692,93,,,4047,9615,,,9568,31,,333,,,586,,424,430,,,,,,,,14978,316,4153,,2,,4783,,,,4375,40573,,61451,13361,5669,540,80290,,1083,,,,0,,197,8,255,,,17,,,150,3319,,,,48217,35949,,,9409,6428,,,,1938,19752,,,62350,,,183,297309,4859,,45403
Apr-80,,72592,,,,102,56362,,,18846,7499,,,749,,13672,10570,,,,,16,,10734,829,31272,,19071,5951,,,5337,,9720,,1053,,5345,115668,14408,,3,67,,5640,68442,176,,,,,53,12380,100,531,222,,,,12354,412,,6430,58,7145,51726,,128240,72,,,3967,9410,,,9267,36,,306,,,570,,434,425,,,,,,,,15349,336,4059,,3,,4763,,,,4135,38947,,61733,13236,5400,492,76722,,1035,,,,0,,267,10,239,,,21,,,170,3087,,,,47860,35007,,,9502,6353,,,,1886,19908,,,65089,,,179,286780,4492,,39421
May-80,,69305,,,,81,56376,,,19782,7796,,,722,,14254,10744,,,,,19,,11283,830,32159,,19694,6270,,,5404,,9994,,1101,,5190,106881,13777,,1,75,,5660,73984,153,,,,,51,13196,91,500,235,,,,12911,441,,6672,63,7615,57290,,134367,63,,,4204,9295,,,8740,33,,369,,,630,,422,442,,,,,,,,15606,350,4256,,4,,4668,,,,4120,39605,,63077,14490,5676,545,71369,,1118,,,,0,,265,8,234,,,16,,,200,3164,,,,50140,35391,,,8785,6534,,,,2374,19689,,,67458,,,196,293687,4724,,40385
Jun-80,,57776,,,,97,57219,,,19067,7362,,,762,,13375,10431,,,,,17,,10832,763,30919,,19936,6697,,,5589,,9857,,1160,,4919,107557,12826,,3,50,,5389,67896,157,,,,,41,12976,62,491,224,,,,12489,372,,5962,61,7755,56152,,128227,61,,,3956,8999,,,8702,37,,346,,,622,,500,387,,,,,,,,14954,330,4077,,1,,4242,,,,4180,37137,,59035,13484,5666,503,67801,,1065,,,,2,,326,9,220,,,25,,,169,3163,,,,47379,33200,,,8241,6261,,,,2351,17394,,,65304,,,196,293018,4621,,38339
Jul-80,,59581,,,,94,59409,,,19115,7802,,,803,,14033,10820,,,,,26,,10995,630,32255,,20092,7592,,,5794,,10541,,1307,,5076,122852,12828,,4,70,,5486,71028,148,,,,,42,13415,93,520,246,,,,13314,386,,6378,60,8344,58799,,138952,93,,,4390,9798,,,9791,39,,365,,,575,,442,447,,,,,,,,16182,332,4283,,2,,4397,,,,4235,40169,,61370,14324,5854,531,66909,,1043,,,,1,,292,7,228,,,20,,,156,3613,,,,49741,34240,,,8408,6460,,,,2370,17706,,,68145,,,210,321836,4595,,43117
Aug-80,,65310,,,,98,57586,,,18467,7543,,,779,,13380,10366,,,,,21,,10932,829,31224,,19447,7922,,,5631,,11773,,1223,,4805,122807,13868,,1,59,,5330,67362,147,,,,,50,12504,83,538,248,,,,12759,362,,6060,62,8347,55133,,138266,77,,,4164,8874,,,9411,25,,360,,,474,,524,417,,,,,,,,15832,310,4256,,3,,4129,,,,4337,38620,,57853,13651,6223,594,65124,,1010,,,,1,,315,8,240,,,22,,,111,3780,,,,48274,34468,,,7740,5920,,,,2585,18871,,,64793,,,199,323129,4514,,40935
Sep-80,,65279,,,,124,57547,,,19003,7859,,,846,,12281,10472,,,,,23,,10887,870,32573,,20707,7747,,,6043,,12732,,1195,,4685,148667,15053,,3,60,,5283,65719,170,,,,,45,12715,90,598,259,,,,12607,377,,6131,51,8351,54584,,136886,68,,,4317,8259,,,9196,28,,373,,,532,,476,485,,,,,,,,15694,330,4431,,2,,4097,,,,4528,40599,,54909,12991,6944,575,74046,,1028,,,,0,,365,9,288,,,19,,,173,3790,,,,48524,36387,,,7740,6177,,,,2912,18930,,,59506,,,246,320536,4482,,41689
Oct-80,,61311,,,,128,57222,,,19103,7717,,,768,,12239,10697,,,,,22,,10405,903,31398,,20548,8024,,,5867,,13553,,1205,,4461,127730,15705,,2,66,,4814,67243,169,,,,,41,12452,99,606,279,,,,12025,349,,6128,78,8560,53564,,133342,69,,,4600,8470,,,9906,33,,343,,,659,,513,486,,,,,,,,15479,289,4344,,1,,4018,,,,4646,39805,,53587,12819,6910,634,81183,,983,,,,0,,330,9,303,,,20,,,149,3991,,,,47950,37058,,,7176,5933,,,,3006,17662,,,59808,,,199,311312,4611,,45196
Nov-80,,62125,,,,123,54774,,,17251,7535,,,815,,12128,9630,,,,,27,,9669,784,28849,,18845,7873,,,5418,,12869,,1065,,4124,141562,14382,,3,59,,4414,62887,164,,,,,50,11181,78,583,248,,,,11172,314,,5598,60,8016,48936,,120455,70,,,4513,8181,,,9094,26,,369,,,631,,468,510,,,,,,,,14342,245,3285,,2,,3762,,,,4761,37046,,51007,11839,6320,627,74938,,925,,,,1,,329,7,276,,,14,,,120,3656,,,,43323,34798,,,6633,5603,,,,3043,16866,,,56821,,,183,289580,4331,,42396
Dec-80,,62914,,,,102,56977,,,19082,7556,,,1160,,11986,10122,,,,,30,,10462,635,29860,,18097,7456,,,4822,,12458,,1103,,4127,132534,13263,,3,62,,4942,64906,202,,,,,38,10483,74,612,282,,,,11509,349,,6061,65,8337,48133,,127544,71,,,4627,8201,,,10000,38,,363,,,546,,493,499,,,,,,,,14749,371,982,,1,,3914,,,,4810,37331,,53545,12547,6543,652,75830,,958,,,,0,,328,5,270,,,20,,,139,3491,,,,46146,34125,,,6877,5752,,,,3042,17325,,,55917,,,223,303101,3597,,38544
Jan-81,5211,82333,,,,114,54075,,,19465,7890,,,839,,13288,10165,,,,,29,,10729,677,29431,28,20641,7135,307,,5675,,11714,,1079,,4200,199252,16476,,3,73,,5114,64700,171,,,,,54,12697,86,,257,28876,,,11900,,,6135,57,7622,51158,,127356,75,,,4593,,,,10448,27,,388,,,476,,458,472,,,,,,,,14484,,4278,,1,,4152,,,,4732,38101,,55918,12681,6033,647,87380,,972,,,18,0,,339,10,,,,11,,,122,3258,,,,44260,38674,,,7971,6140,,,,2867,20460,,,62402,,,212,294632,4160,,40350
Feb-81,5636,77915,,,,90,51122,,,18532,7501,,,722,,11821,9517,,,,,11,,9806,607,27892,21,17608,5962,264,,5190,,10216,,1043,,4087,139687,12983,,1,55,,4833,60530,139,,,,,40,11223,76,,233,24697,,,11477,,,5667,59,6781,45752,,117324,67,,,3994,,,,10047,25,,390,,,498,,405,396,,,,,,,,13711,,3992,,1,,4116,,,,4058,33427,,53644,11340,5082,540,92659,,843,,,5,1,,261,9,,,,12,,,126,2984,,,,40739,33371,,,7795,5829,,,,2305,18636,,,56265,,,180,273234,4104,,43409
Mar-81,7161,83017,,,,112,57458,,,20983,8023,,,950,,13555,10453,,,,,20,,10674,742,32537,29,20171,6502,278,,5957,,10488,,1075,,4595,145733,13397,,1,72,,5739,68630,159,,,,,38,12451,78,,253,25582,,,12739,,,6456,65,7510,52362,,124117,91,,,4364,,,,9593,26,,376,,,638,,450,440,,,,,,,,15511,,4373,,1,,4873,,,,4311,37704,,61987,12701,5481,597,69649,,984,,,6,2,,313,11,,,,16,,,157,3244,,,,44944,38582,,,8947,6463,,,,2563,20812,,,62167,,,188,301691,4482,,43610
Apr-81,7151,77038,,,,67,57485,,,20309,7836,,,847,,13360,10582,,,,,23,,10329,572,31979,19,19728,6082,249,,5723,,9535,,971,,4765,116343,12041,,4,65,,5780,70480,173,,,,,43,11731,77,,265,23883,,,12067,,,6282,71,7139,52557,,125800,79,,,4105,,,,10127,34,,323,,,635,,423,397,,,,,,,,15321,,4184,,3,,4697,,,,4198,36759,,59231,12622,5460,472,65396,,987,,,7,0,,274,9,,,,16,,,173,3200,,,,45842,34957,,,8971,6438,,,,2453,22387,,,62322,,,194,285578,4133,,39078
May-81,7216,72365,,,,71,60194,,,20644,7852,,,862,,13864,10667,,,,,11,,11059,453,32104,20,21203,6363,279,,5758,,9670,,1077,,4745,107610,13091,,4,61,,5508,72620,174,,,,,28,12063,86,,236,25332,,,12631,,,6284,61,7296,55551,,130663,76,,,4391,,,,9562,36,,417,,,690,,432,441,,,,,,,,15258,,4127,,4,,4417,,,,4598,38441,,59385,13660,5618,576,68193,,1038,,,10,1,,297,11,,,,19,,,152,3456,,,,48839,34187,,,8577,6549,,,,2572,21136,,,65884,,,186,296323,4769,,40138
Jun-81,7004,61967,,,,90,59392,,,19710,7717,,,676,,13281,10510,,,,,21,,10844,357,31516,19,21640,6817,307,,6441,,9807,,1159,,4725,104400,12193,,0,63,,5411,69720,180,,,,,46,12602,87,,240,24054,,,12518,,,5941,60,7657,53914,,125310,61,,,4115,,,,9667,32,,365,,,550,,460,401,,,,,,,,14864,,3964,,1,,4225,,,,4084,37727,,57842,12839,5477,551,63918,,1053,,,16,1,,291,9,,,,29,,,180,3499,,,,44728,31480,,,8016,6320,,,,2307,18840,,,65298,,,175,297935,4828,,42337
Jul-81,6905,63209,,,,93,59628,,,20149,8114,,,773,,13676,10771,,,,,18,,11180,699,32713,36,21790,7678,403,,5681,,10624,,1240,,4790,106138,12534,,5,59,,5429,71950,161,,,,,43,12591,111,,251,25546,,,12980,,,6150,56,8539,56739,,135137,76,,,4383,,,,9706,35,,401,,,505,,449,407,,,,,,,,15742,,4306,,2,,4318,,,,4430,39572,,59937,13308,5950,580,67053,,1021,,,9,3,,299,8,,,,17,,,171,3535,,,,46318,32393,,,8104,6269,,,,2495,18472,,,66895,,,167,326182,4695,,43079
Aug-81,6144,67599,,,,93,57217,,,20020,7989,,,742,,14204,10727,,,,,13,,10603,932,31532,29,22159,8284,415,,5931,,11578,,1178,,4545,135422,13534,,2,58,,5377,68310,186,,,,,31,11975,82,,265,26128,,,12066,,,5801,58,8058,53400,,134770,58,,,4211,,,,9873,26,,375,,,485,,436,441,,,,,,,,15603,,4367,,2,,4234,,,,4533,40341,,55716,12874,6225,630,68241,,1013,,,10,1,,330,5,,,,25,,,147,3659,,,,45207,31593,,,7837,6180,,,,2708,19312,,,63006,,,200,329870,4454,,43596
Sep-81,5685,61945,,,,85,56304,,,20293,7857,,,927,,13430,10596,,,,,25,,10598,921,31500,43,23068,8068,423,,6419,,12940,,1197,,4616,140197,14559,,2,59,,5501,65400,176,,,,,46,11698,106,,221,26433,,,11660,,,6035,76,7997,54535,,133295,72,,,4216,,,,9138,31,,359,,,558,,486,530,,,,,,,,15476,,4358,,2,,4249,,,,4706,41398,,54599,12925,6803,620,67498,,998,,,13,0,,398,8,,,,21,,,148,3722,,,,45209,35053,,,7772,6287,,,,2983,17017,,,58389,,,252,319971,4638,,37776
Oct-81,5427,60596,,,,130,56995,,,20001,7770,,,838,,12449,10185,,,,,20,,9762,961,30336,38,22827,8369,485,,6302,,14166,,1154,,4155,128766,14460,,2,62,,4954,65200,209,,,,,46,11248,80,,285,26601,,,11198,,,5885,66,8344,51410,,130813,86,,,4496,,,,9432,36,,372,,,699,,522,513,,,,,,,,14946,,4170,,1,,3980,,,,4948,39270,,52648,12664,6668,628,68661,,982,,,7,1,,372,6,,,,21,,,134,4150,,,,44619,37974,,,7023,5888,,,,3023,15910,,,57685,,,261,309106,4661,,38769
Nov-81,4115,62098,,,,116,53517,,,18080,7693,,,913,,12354,9629,,,,,23,,9239,826,28933,38,20884,7790,393,,5736,,12804,,987,,3870,142050,14679,,0,60,,4778,62170,177,,,,,39,10425,75,,241,25606,,,10432,,,5645,67,8165,47454,,118667,53,,,4483,,,,9812,29,,313,,,647,,437,485,,,,,,,,13587,,3115,,1,,3695,,,,4740,38091,,52333,12272,6300,655,69605,,939,,,17,2,,338,11,,,,15,,,127,3875,,,,41172,36837,,,6401,5567,,,,3049,16246,,,56422,,,222,290843,4431,,46159
Dec-81,4525,65018,,,,104,53736,,,19379,7700,,,1211,,12617,9990,,,,,17,,9549,833,29863,28,19850,7701,404,,2902,,12669,,1112,,3996,128100,13358,,4,66,,5045,65970,58,,,,,57,10249,107,,261,25675,,,11222,,,5877,56,8200,48271,,126203,63,,,4690,,,,10823,32,,335,,,629,,334,474,,,,,,,,14066,,947,,1,,3752,,,,4535,37035,,55456,12216,6268,696,70304,,970,,,11,3,,348,12,,,,15,,,165,3668,,,,41131,38692,,,6651,5817,,,,2852,16443,,,56448,,,213,303873,4568,,38969
Jan-82,5266,,92,,,110,,,,19477,8142,,,840,379,13093,9835,,,,,24,,10533,977,29793,28,22373,6846,392,,5425,,12348,,1027,,4368,200893,15492,,,74,,5232,64717,200,,,,,45,11458,81,624,248,28518,,,11488,359,,5911,72,,50443,5277,125918,61,,,4728,,,,,33,,348,21351,,563,,515,440,,,,,,,,14246,344,4060,11,,,4117,,,,4660,45427,,59423,12334,6068,687,91668,,1001,,,8,,,352,,,,,20,,,136,3159,,,,42472,36828,,,7856,6138,,,,2801,21228,,,63568,,59281,232,311000,4147,,35665
Feb-82,6060,,88,,,73,,,,18706,7407,,,735,356,12483,9246,,,,,19,,9737,874,28560,27,19658,6264,336,,4848,,10640,,1075,,4067,137777,12479,,,57,,5097,60701,165,,,,,44,10698,91,501,228,22851,,,10450,348,,5560,60,,45802,4365,114176,60,,,3976,,,,,27,,322,19296,,498,,441,410,,,,,,,,13198,310,3830,7,,,3960,,,,3946,41960,,54362,11328,5192,597,92622,,877,,,8,,,270,,,,,14,,,121,2909,,,,39145,31921,,,7579,6001,,,,2416,19003,,,56645,,54837,183,281000,4088,,36448
Mar-82,7606,,97,,,104,,,,21552,8114,,,1012,374,13248,10504,,,,,15,,10765,941,32514,29,21972,6720,417,,5416,,10871,,1184,,4732,149642,11685,,,68,,6176,69193,220,,,,,48,11836,86,564,243,23881,,,11553,377,,6441,64,,50406,4638,119541,67,,,4487,,,,,37,,373,21570,,712,,463,450,,,,,,,,14901,355,4200,7,,,4894,,,,4449,45955,,62916,12391,5736,629,69810,,1046,,,8,,,327,,,,,18,,,148,3282,,,,43587,36570,,,9136,6693,,,,2670,21003,,,62016,,62571,189,298000,4464,,50783
Apr-82,7950,,113,,,104,,,,19776,7915,,,813,311,13177,10417,,,,,21,,10223,903,31998,22,21313,6152,309,,5621,,10196,,978,,4640,120572,12792,,,69,,5835,69541,182,,,,,34,11370,79,454,220,23314,,,11104,377,,6166,65,,50760,4505,118768,68,,,4334,,,,,31,,346,22672,,676,,440,418,,,,,,,,14574,340,4054,9,,,4858,,,,4465,43839,,59393,12045,5307,619,65225,,1012,,,9,,,303,,,,,16,,,117,3086,,,,43797,33416,,,8900,6594,,,,2548,19417,,,62581,,60249,176,287000,4114,,37067
May-82,8010,,114,,,76,,,,19965,7974,,,1230,323,14183,10438,,,,,15,,11291,879,32583,24,21433,6463,367,,5909,,10779,,1157,,4876,111392,12552,,,51,,5830,72406,188,,,,,50,12168,90,532,241,24596,,,11384,383,,6174,45,,56257,4614,127009,75,,,4433,,,,,29,,392,21855,,627,,499,412,,,,,,,,14556,350,4049,6,,,4593,,,,4595,43779,,62296,13706,5321,627,63398,,1049,,,14,,,293,,,,,19,,,152,3296,,,,46998,32926,,,8208,6591,,,,2564,19672,,,66429,,61175,193,305000,4754,,42730
Jun-82,7174,,98,,,75,,,,19865,7842,,,844,366,13232,10191,,,,,12,,10967,813,31555,21,21856,6781,410,,5821,,11266,,1248,,4600,102548,11815,,,53,,5470,68944,211,,,,,50,11738,95,520,245,24228,,,11250,377,,5758,65,,53522,4180,126734,79,,,4332,,,,,41,,369,25677,,605,,446,394,,,,,,,,14448,324,3977,15,,,4395,,,,4263,42419,,59277,12866,5188,584,62153,,1005,,,10,,,299,,,,,20,,,142,3563,,,,43133,31551,,,7808,6211,,,,2409,18635,,,64322,,58734,173,302000,4807,,41728
Jul-82,7235,,96,,,98,,,,20221,8224,,,865,369,13568,10446,,,,,14,,10546,835,32329,25,21605,7530,438,,5827,,13194,,1256,,4606,107366,12156,,,67,,5518,70847,169,,,,,62,11896,99,519,255,26522,,,11777,389,,6205,61,,56240,4332,137024,79,,,4408,,,,,28,,428,23103,,491,,492,369,,,,,,,,15038,334,4201,11,,,4266,,,,4435,44263,,61807,13215,5616,692,63098,,989,,,10,,,285,,,,,24,,,122,3515,,,,44357,32875,,,7674,6447,,,,2569,18236,,,66661,,62385,197,339000,4678,,42571
Aug-82,6551,,83,,,116,,,,20539,8134,,,1001,366,13176,10109,,,,,22,,10615,881,31496,39,22161,7760,484,,6134,,15468,,1283,,4405,135760,13478,,,59,,5387,67083,207,,,,,55,11813,103,553,243,26272,,,11802,363,,5926,72,,53923,4948,138478,77,,,4549,,,,,39,,351,24688,,570,,509,424,,,,,,,,14597,283,4284,5,,,4311,,,,4486,44551,,59320,12860,5885,666,63463,,1062,,,9,,,347,,,,,25,,,138,3673,,,,42804,32658,,,7713,6377,,,,2457,18866,,,64268,,61363,184,323000,4437,,45537
